Name,Type,Total produced,Total sold,Total unsold,Damaged,Month,Year,Quarter,Edition,Price,Gender, Sales percent , Damage percent ,Estimated revenue,Unrealized revenue,Unrealized Revenue(Damaged),Total unrialized rev ,Price bucket
Air Jordan 1 Mid Shoes,Brownie,98083,97181,9,893,July,2015,Q3,Limited,110,F,99.08,0.91,"$10,689,910",$990,"$98,230","$99,220",High
Red Tape Casual Sneakers,Crisper,40715,40373,231,111,June,2023,Q2,Standard,35,F,99.16,0.27,"$1,413,055","$8,085","$3,885","$11,970",Low
Nike Court Vision Low Shoes,Peanut Butter,85511,46799,867,37845,September,2021,Q3,Holiday,80,M,54.73,44.26,"$3,743,920","$69,360","$3,027,600","$3,096,960",Mid
Puma Smash V2 Sneakers,Creamy,78321,33972,17246,27103,May,2018,Q2,Holiday,65,M,43.38,34.61,"$2,208,180","$1,120,990","$1,761,695","$2,882,685",Mid
Converse Chuck Taylor All Star,Creamy,98965,60994,1543,36428,July,2020,Q3,Standard,60,F,61.63,36.81,"$3,659,640","$92,580","$2,185,680","$2,278,260",Mid
New Balance 574 Core,White Chocolate,78742,46777,9149,22816,September,2019,Q3,Anniversary,90,F,59.41,28.98,"$4,209,930","$823,410","$2,053,440","$2,876,850",Mid
Reebok Classic Leather,Peanut Butter,80507,67065,9494,3948,July,2024,Q3,Limited,85,M,83.3,4.9,"$5,700,525","$806,990","$335,580","$1,142,570",Mid
Under Armour Charged Assert 9,White Chocolate,70689,12552,21281,36856,August,2019,Q3,Anniversary,75,M,17.76,52.14,"$941,400","$1,596,075","$2,764,200","$4,360,275",Mid
Fila Disruptor II Premium,Crisper,41831,21711,13458,6662,September,2018,Q3,Standard,70,F,51.9,15.93,"$1,519,770","$942,060","$466,340","$1,408,400",Mid
ASICS Gel-Quantum 90,Classic,80206,29966,46863,3377,January,2018,Q1,Anniversary,100,M,37.36,4.21,"$2,996,600","$4,686,300","$337,700","$5,024,000",Mid
Skechers DLites,White Chocolate,19539,8082,1831,9626,February,2023,Q1,Special Release,75,M,41.36,49.27,"$606,150","$137,325","$721,950","$859,275",Mid
Vans Old Skool,White Chocolate,53642,24869,28271,502,May,2017,Q2,Limited,70,M,46.36,0.94,"$1,740,830","$1,978,970","$35,140","$2,014,110",Mid
Onitsuka Tiger Mexico 66,Creamy,72773,36797,22574,13402,June,2019,Q2,Limited,100,F,50.56,18.42,"$3,679,700","$2,257,400","$1,340,200","$3,597,600",Mid
Lacoste Carnaby Evo,Crisper,71112,52088,8918,10106,December,2017,Q4,Holiday,95,F,73.25,14.21,"$4,948,360","$847,210","$960,070","$1,807,280",Mid
Superga 2750 Cotu Classic,Crisper,22924,20384,1229,1311,April,2017,Q2,Holiday,65,M,88.92,5.72,"$1,324,960","$79,885","$85,215","$165,100",Mid
Hoka One One Clifton 8,Brownie,39002,14563,23908,531,December,2017,Q4,Special Release,140,F,37.34,1.36,"$2,038,820","$3,347,120","$74,340","$3,421,460",High
Saucony Jazz Original,Almond,29976,11428,7739,10809,July,2017,Q3,Anniversary,80,M,38.12,36.06,"$914,240","$619,120","$864,720","$1,483,840",Mid
Columbia Trailstorm Waterproof,Crisper,82173,49245,16064,16864,July,2023,Q3,Anniversary,110,F,59.93,20.52,"$5,416,950","$1,767,040","$1,855,040","$3,622,080",High
Nike Air Force 1 07 Sneakers,Crisper,32050,29011,1597,1442,November,2016,Q4,Limited,115,F,90.52,4.5,"$3,336,265","$183,655","$165,830","$349,485",High
Adidas Originals Samba OG Shoes,Peanut Butter,81058,12698,63927,4433,May,2024,Q2,Standard,100,M,15.67,5.47,"$1,269,800","$6,392,700","$443,300","$6,836,000",Mid
Air Jordan 1 Mid Shoes,White Chocolate,10836,8378,1895,563,June,2024,Q2,Limited,110,M,77.32,5.2,"$921,580","$208,450","$61,930","$270,380",High
Red Tape Casual Sneakers,Classic,38668,38143,59,466,March,2019,Q1,Standard,35,F,98.64,1.21,"$1,335,005","$2,065","$16,310","$18,375",Low
Nike Court Vision Low Shoes,Creamy,73944,7061,66017,866,December,2020,Q4,Special Release,80,M,9.55,1.17,"$564,880","$5,281,360","$69,280","$5,350,640",Mid
Puma Smash V2 Sneakers,Brownie,46010,40110,3552,2348,March,2015,Q1,Special Release,65,F,87.18,5.1,"$2,607,150","$230,880","$152,620","$383,500",Mid
Converse Chuck Taylor All Star,White Chocolate,33496,8506,21834,3156,November,2020,Q4,Limited,60,F,25.39,9.42,"$510,360","$1,310,040","$189,360","$1,499,400",Mid
New Balance 574 Core,White Chocolate,56457,22519,7927,26011,November,2015,Q4,Holiday,90,F,39.89,46.07,"$2,026,710","$713,430","$2,340,990","$3,054,420",Mid
Reebok Classic Leather,Brownie,41877,19801,12247,9829,September,2022,Q3,Standard,85,M,47.28,23.47,"$1,683,085","$1,040,995","$835,465","$1,876,460",Mid
Under Armour Charged Assert 9,Classic,63120,29855,8547,24718,March,2021,Q1,Anniversary,75,M,47.3,39.16,"$2,239,125","$641,025","$1,853,850","$2,494,875",Mid
Fila Disruptor II Premium,Creamy,32463,7709,8375,16379,June,2024,Q2,Anniversary,70,F,23.75,50.45,"$539,630","$586,250","$1,146,530","$1,732,780",Mid
ASICS Gel-Quantum 90,Brownie,22499,22306,183,10,July,2017,Q3,Limited,100,F,99.14,0.04,"$2,230,600","$18,300","$1,000","$19,300",Mid
Skechers DLites,Almond,16102,6218,5291,4593,February,2021,Q1,Special Release,75,M,38.62,28.52,"$466,350","$396,825","$344,475","$741,300",Mid
Vans Old Skool,White Chocolate,51220,6026,31618,13576,August,2021,Q3,Limited,70,F,11.76,26.51,"$421,820","$2,213,260","$950,320","$3,163,580",Mid
Onitsuka Tiger Mexico 66,Classic,49226,15646,17821,15759,May,2021,Q2,Anniversary,100,F,31.78,32.01,"$1,564,600","$1,782,100","$1,575,900","$3,358,000",Mid
Lacoste Carnaby Evo,Crisper,28343,27587,15,741,November,2015,Q4,Special Release,95,F,97.33,2.61,"$2,620,765","$1,425","$70,395","$71,820",Mid
Superga 2750 Cotu Classic,Classic,22803,19322,2531,950,May,2024,Q2,Standard,65,F,84.73,4.17,"$1,255,930","$164,515","$61,750","$226,265",Mid
Hoka One One Clifton 8,White Chocolate,52778,6941,4280,41557,January,2018,Q1,Anniversary,140,F,13.15,78.74,"$971,740","$599,200","$5,817,980","$6,417,180",High
Saucony Jazz Original,Brownie,59207,33301,19820,6086,August,2022,Q3,Special Release,80,M,56.25,10.28,"$2,664,080","$1,585,600","$486,880","$2,072,480",Mid
Columbia Trailstorm Waterproof,White Chocolate,91083,43715,31217,16151,December,2022,Q4,Standard,110,M,47.99,17.73,"$4,808,650","$3,433,870","$1,776,610","$5,210,480",High
Nike Air Force 1 07 Sneakers,Crisper,93086,25221,16797,51068,July,2018,Q3,Holiday,115,M,27.09,54.86,"$2,900,415","$1,931,655","$5,872,820","$7,804,475",High
Adidas Originals Samba OG Shoes,Almond,68292,28587,22026,17679,February,2016,Q1,Limited,100,F,41.86,25.89,"$2,858,700","$2,202,600","$1,767,900","$3,970,500",Mid
Air Jordan 1 Mid Shoes,Crisper,83005,77710,1098,4197,July,2019,Q3,Standard,110,F,93.62,5.06,"$8,548,100","$120,780","$461,670","$582,450",High
Red Tape Casual Sneakers,Brownie,22198,15630,3413,3155,February,2015,Q1,Holiday,35,M,70.41,14.21,"$547,050","$119,455","$110,425","$229,880",Low
Nike Court Vision Low Shoes,Creamy,83339,36816,9040,37483,November,2020,Q4,Limited,80,M,44.18,44.98,"$2,945,280","$723,200","$2,998,640","$3,721,840",Mid
Puma Smash V2 Sneakers,Peanut Butter,45247,24734,11718,8795,July,2020,Q3,Limited,65,F,54.66,19.44,"$1,607,710","$761,670","$571,675","$1,333,345",Mid
Converse Chuck Taylor All Star,Almond,65194,24644,8816,31734,October,2023,Q4,Standard,60,M,37.8,48.68,"$1,478,640","$528,960","$1,904,040","$2,433,000",Mid
New Balance 574 Core,Creamy,91924,69985,2482,19457,November,2021,Q4,Limited,90,M,76.13,21.17,"$6,298,650","$223,380","$1,751,130","$1,974,510",Mid
Reebok Classic Leather,Almond,10887,8241,1286,1360,June,2024,Q2,Special Release,85,F,75.7,12.49,"$700,485","$109,310","$115,600","$224,910",Mid
Under Armour Charged Assert 9,Crisper,53874,33220,1177,19477,July,2016,Q3,Holiday,75,M,61.66,36.15,"$2,491,500","$88,275","$1,460,775","$1,549,050",Mid
Fila Disruptor II Premium,Crisper,51180,16641,8440,26099,July,2018,Q3,Holiday,70,F,32.51,50.99,"$1,164,870","$590,800","$1,826,930","$2,417,730",Mid
ASICS Gel-Quantum 90,Brownie,41775,26357,9257,6161,February,2018,Q1,Anniversary,100,M,63.09,14.75,"$2,635,700","$925,700","$616,100","$1,541,800",Mid
Skechers DLites,Brownie,81516,28583,8257,44676,August,2023,Q3,Special Release,75,F,35.06,54.81,"$2,143,725","$619,275","$3,350,700","$3,969,975",Mid
Vans Old Skool,Creamy,37479,19367,8566,9546,April,2024,Q2,Standard,70,F,51.67,25.47,"$1,355,690","$599,620","$668,220","$1,267,840",Mid
Onitsuka Tiger Mexico 66,Creamy,75444,23242,10696,41506,May,2018,Q2,Limited,100,M,30.81,55.02,"$2,324,200","$1,069,600","$4,150,600","$5,220,200",Mid
Lacoste Carnaby Evo,Creamy,65460,56712,2572,6176,October,2015,Q4,Anniversary,95,F,86.64,9.43,"$5,387,640","$244,340","$586,720","$831,060",Mid
Superga 2750 Cotu Classic,Brownie,62534,40020,5914,16600,October,2024,Q4,Anniversary,65,F,64,26.55,"$2,601,300","$384,410","$1,079,000","$1,463,410",Mid
Hoka One One Clifton 8,Creamy,80373,16138,57068,7167,August,2023,Q3,Limited,140,F,20.08,8.92,"$2,259,320","$7,989,520","$1,003,380","$8,992,900",High
Saucony Jazz Original,Peanut Butter,94803,85304,8774,725,April,2021,Q2,Anniversary,80,F,89.98,0.76,"$6,824,320","$701,920","$58,000","$759,920",Mid
Columbia Trailstorm Waterproof,White Chocolate,66420,11943,53786,691,February,2016,Q1,Holiday,110,M,17.98,1.04,"$1,313,730","$5,916,460","$76,010","$5,992,470",High
Nike Air Force 1 07 Sneakers,Crisper,59036,30633,13230,15173,August,2023,Q3,Special Release,115,M,51.89,25.7,"$3,522,795","$1,521,450","$1,744,895","$3,266,345",High
Adidas Originals Samba OG Shoes,Almond,13219,12909,257,53,April,2018,Q2,Anniversary,100,M,97.65,0.4,"$1,290,900","$25,700","$5,300","$31,000",Mid
Air Jordan 1 Mid Shoes,Classic,28569,16414,7045,5110,November,2018,Q4,Anniversary,110,F,57.45,17.89,"$1,805,540","$774,950","$562,100","$1,337,050",High
Red Tape Casual Sneakers,Almond,72411,17795,25901,28715,February,2023,Q1,Anniversary,35,F,24.57,39.66,"$622,825","$906,535","$1,005,025","$1,911,560",Low
Nike Court Vision Low Shoes,Classic,25084,5740,8103,11241,April,2022,Q2,Standard,80,M,22.88,44.81,"$459,200","$648,240","$899,280","$1,547,520",Mid
Puma Smash V2 Sneakers,Creamy,41970,38816,2440,714,March,2021,Q1,Limited,65,F,92.49,1.7,"$2,523,040","$158,600","$46,410","$205,010",Mid
Converse Chuck Taylor All Star,Crisper,40389,31545,5822,3022,February,2017,Q1,Anniversary,60,M,78.1,7.48,"$1,892,700","$349,320","$181,320","$530,640",Mid
New Balance 574 Core,Crisper,87621,61302,13578,12741,January,2015,Q1,Limited,90,M,69.96,14.54,"$5,517,180","$1,222,020","$1,146,690","$2,368,710",Mid
Reebok Classic Leather,Brownie,23336,22592,553,191,February,2019,Q1,Holiday,85,M,96.81,0.82,"$1,920,320","$47,005","$16,235","$63,240",Mid
Under Armour Charged Assert 9,Almond,97910,69157,11461,17292,March,2022,Q1,Holiday,75,F,70.63,17.66,"$5,186,775","$859,575","$1,296,900","$2,156,475",Mid
Fila Disruptor II Premium,Brownie,24972,16400,2806,5766,June,2024,Q2,Anniversary,70,F,65.67,23.09,"$1,148,000","$196,420","$403,620","$600,040",Mid
ASICS Gel-Quantum 90,Brownie,87354,16108,53690,17556,July,2018,Q3,Standard,100,M,18.44,20.1,"$1,610,800","$5,369,000","$1,755,600","$7,124,600",Mid
Skechers DLites,Peanut Butter,58929,50445,6168,2316,September,2020,Q3,Anniversary,75,M,85.6,3.93,"$3,783,375","$462,600","$173,700","$636,300",Mid
Vans Old Skool,Brownie,60293,32724,21483,6086,June,2020,Q2,Special Release,70,M,54.27,10.09,"$2,290,680","$1,503,810","$426,020","$1,929,830",Mid
Onitsuka Tiger Mexico 66,Brownie,31871,21044,6095,4732,July,2016,Q3,Limited,100,F,66.03,14.85,"$2,104,400","$609,500","$473,200","$1,082,700",Mid
Lacoste Carnaby Evo,Brownie,17026,10882,6066,78,June,2020,Q2,Limited,95,F,63.91,0.46,"$1,033,790","$576,270","$7,410","$583,680",Mid
Superga 2750 Cotu Classic,Brownie,76248,69876,3021,3351,September,2022,Q3,Anniversary,65,F,91.64,4.39,"$4,541,940","$196,365","$217,815","$414,180",Mid
Hoka One One Clifton 8,Crisper,31922,7708,5688,18526,May,2015,Q2,Limited,140,F,24.15,58.04,"$1,079,120","$796,320","$2,593,640","$3,389,960",High
Saucony Jazz Original,Peanut Butter,80465,42836,26606,11023,October,2023,Q4,Anniversary,80,F,53.24,13.7,"$3,426,880","$2,128,480","$881,840","$3,010,320",Mid
Columbia Trailstorm Waterproof,Brownie,76952,19838,19581,37533,April,2016,Q2,Holiday,110,F,25.78,48.77,"$2,182,180","$2,153,910","$4,128,630","$6,282,540",High
Nike Air Force 1 07 Sneakers,Brownie,15453,12231,985,2237,June,2017,Q2,Anniversary,115,M,79.15,14.48,"$1,406,565","$113,275","$257,255","$370,530",High
Adidas Originals Samba OG Shoes,Almond,14224,12368,1318,538,November,2018,Q4,Standard,100,M,86.95,3.78,"$1,236,800","$131,800","$53,800","$185,600",Mid
Air Jordan 1 Mid Shoes,White Chocolate,41056,18754,3037,19265,September,2022,Q3,Holiday,110,F,45.68,46.92,"$2,062,940","$334,070","$2,119,150","$2,453,220",High
Red Tape Casual Sneakers,Peanut Butter,90760,23249,40429,27082,February,2024,Q1,Limited,35,F,25.62,29.84,"$813,715","$1,415,015","$947,870","$2,362,885",Low
Nike Court Vision Low Shoes,Brownie,46842,44115,521,2206,November,2016,Q4,Holiday,80,F,94.18,4.71,"$3,529,200","$41,680","$176,480","$218,160",Mid
Puma Smash V2 Sneakers,Almond,85069,40041,11316,33712,August,2022,Q3,Standard,65,F,47.07,39.63,"$2,602,665","$735,540","$2,191,280","$2,926,820",Mid
Converse Chuck Taylor All Star,Classic,46349,13315,24338,8696,October,2017,Q4,Limited,60,M,28.73,18.76,"$798,900","$1,460,280","$521,760","$1,982,040",Mid
New Balance 574 Core,White Chocolate,98635,56472,10086,32077,August,2016,Q3,Special Release,90,F,57.25,32.52,"$5,082,480","$907,740","$2,886,930","$3,794,670",Mid
Reebok Classic Leather,Crisper,69243,9949,17769,41525,November,2023,Q4,Standard,85,F,14.37,59.97,"$845,665","$1,510,365","$3,529,625","$5,039,990",Mid
Under Armour Charged Assert 9,Creamy,58374,34798,7584,15992,September,2018,Q3,Special Release,75,M,59.61,27.4,"$2,609,850","$568,800","$1,199,400","$1,768,200",Mid
Fila Disruptor II Premium,Creamy,70089,46604,1723,21762,October,2022,Q4,Holiday,70,F,66.49,31.05,"$3,262,280","$120,610","$1,523,340","$1,643,950",Mid
ASICS Gel-Quantum 90,Peanut Butter,66314,59057,5522,1735,July,2020,Q3,Holiday,100,F,89.06,2.62,"$5,905,700","$552,200","$173,500","$725,700",Mid
Skechers DLites,Almond,81737,80750,854,133,May,2021,Q2,Anniversary,75,M,98.79,0.16,"$6,056,250","$64,050","$9,975","$74,025",Mid
Vans Old Skool,Classic,23051,20059,2926,66,May,2016,Q2,Limited,70,M,87.02,0.29,"$1,404,130","$204,820","$4,620","$209,440",Mid
Onitsuka Tiger Mexico 66,Crisper,36518,27563,6794,2161,November,2024,Q4,Holiday,100,F,75.48,5.92,"$2,756,300","$679,400","$216,100","$895,500",Mid
Lacoste Carnaby Evo,Classic,95798,52242,27147,16409,December,2015,Q4,Holiday,95,M,54.53,17.13,"$4,962,990","$2,578,965","$1,558,855","$4,137,820",Mid
Superga 2750 Cotu Classic,Classic,61949,45999,10945,5005,February,2023,Q1,Limited,65,M,74.25,8.08,"$2,989,935","$711,425","$325,325","$1,036,750",Mid
Hoka One One Clifton 8,Creamy,22475,5035,10447,6993,May,2020,Q2,Standard,140,M,22.4,31.11,"$704,900","$1,462,580","$979,020","$2,441,600",High
Saucony Jazz Original,Brownie,99126,63335,35183,608,February,2015,Q1,Holiday,80,F,63.89,0.61,"$5,066,800","$2,814,640","$48,640","$2,863,280",Mid
Columbia Trailstorm Waterproof,Creamy,27324,20653,6091,580,July,2017,Q3,Anniversary,110,M,75.59,2.12,"$2,271,830","$670,010","$63,800","$733,810",High
Nike Air Force 1 07 Sneakers,Classic,51071,29088,12178,9805,July,2016,Q3,Anniversary,115,M,56.96,19.2,"$3,345,120","$1,400,470","$1,127,575","$2,528,045",High
Adidas Originals Samba OG Shoes,Creamy,98753,23724,66063,8966,December,2020,Q4,Special Release,100,M,24.02,9.08,"$2,372,400","$6,606,300","$896,600","$7,502,900",Mid
Air Jordan 1 Mid Shoes,Crisper,56030,52345,2813,872,January,2022,Q1,Limited,110,F,93.42,1.56,"$5,757,950","$309,430","$95,920","$405,350",High
Red Tape Casual Sneakers,White Chocolate,38474,10681,24501,3292,July,2016,Q3,Standard,35,F,27.76,8.56,"$373,835","$857,535","$115,220","$972,755",Low
Nike Court Vision Low Shoes,Almond,66280,25611,31506,9163,October,2017,Q4,Holiday,80,M,38.64,13.82,"$2,048,880","$2,520,480","$733,040","$3,253,520",Mid
Puma Smash V2 Sneakers,Brownie,88774,83644,153,4977,March,2018,Q1,Standard,65,F,94.22,5.61,"$5,436,860","$9,945","$323,505","$333,450",Mid
Converse Chuck Taylor All Star,Peanut Butter,77862,71784,4533,1545,May,2023,Q2,Anniversary,60,M,92.19,1.98,"$4,307,040","$271,980","$92,700","$364,680",Mid
New Balance 574 Core,White Chocolate,41370,37432,2358,1580,April,2016,Q2,Limited,90,M,90.48,3.82,"$3,368,880","$212,220","$142,200","$354,420",Mid
Reebok Classic Leather,Brownie,11581,7958,2327,1296,June,2016,Q2,Anniversary,85,F,68.72,11.19,"$676,430","$197,795","$110,160","$307,955",Mid
Under Armour Charged Assert 9,Almond,81612,27645,3981,49986,April,2020,Q2,Standard,75,M,33.87,61.25,"$2,073,375","$298,575","$3,748,950","$4,047,525",Mid
Fila Disruptor II Premium,Classic,44365,19138,23922,1305,September,2015,Q3,Anniversary,70,F,43.14,2.94,"$1,339,660","$1,674,540","$91,350","$1,765,890",Mid
ASICS Gel-Quantum 90,Crisper,62727,10401,10348,41978,January,2021,Q1,Special Release,100,F,16.58,66.92,"$1,040,100","$1,034,800","$4,197,800","$5,232,600",Mid
Skechers DLites,Classic,50620,10178,6934,33508,April,2017,Q2,Limited,75,F,20.11,66.2,"$763,350","$520,050","$2,513,100","$3,033,150",Mid
Vans Old Skool,Brownie,93138,90175,174,2789,March,2022,Q1,Standard,70,F,96.82,2.99,"$6,312,250","$12,180","$195,230","$207,410",Mid
Onitsuka Tiger Mexico 66,Creamy,41278,8794,24473,8011,December,2015,Q4,Anniversary,100,M,21.3,19.41,"$879,400","$2,447,300","$801,100","$3,248,400",Mid
Lacoste Carnaby Evo,Almond,97304,91252,4614,1438,May,2016,Q2,Standard,95,M,93.78,1.48,"$8,668,940","$438,330","$136,610","$574,940",Mid
Superga 2750 Cotu Classic,Peanut Butter,75065,50443,7485,17137,October,2020,Q4,Holiday,65,M,67.2,22.83,"$3,278,795","$486,525","$1,113,905","$1,600,430",Mid
Hoka One One Clifton 8,Creamy,45227,12736,7213,25278,May,2015,Q2,Holiday,140,F,28.16,55.89,"$1,783,040","$1,009,820","$3,538,920","$4,548,740",High
Saucony Jazz Original,Brownie,18371,9308,7801,1262,July,2020,Q3,Anniversary,80,M,50.67,6.87,"$744,640","$624,080","$100,960","$725,040",Mid
Columbia Trailstorm Waterproof,Crisper,84302,26873,33333,24096,October,2016,Q4,Holiday,110,M,31.88,28.58,"$2,956,030","$3,666,630","$2,650,560","$6,317,190",High
Nike Air Force 1 07 Sneakers,Peanut Butter,76692,5336,65584,5772,August,2024,Q3,Standard,115,F,6.96,7.53,"$613,640","$7,542,160","$663,780","$8,205,940",High
Adidas Originals Samba OG Shoes,Almond,60197,14835,33634,11728,August,2024,Q3,Standard,100,F,24.64,19.48,"$1,483,500","$3,363,400","$1,172,800","$4,536,200",Mid
Air Jordan 1 Mid Shoes,Peanut Butter,52179,21270,17270,13639,January,2023,Q1,Holiday,110,M,40.76,26.14,"$2,339,700","$1,899,700","$1,500,290","$3,399,990",High
Red Tape Casual Sneakers,Brownie,58864,12825,13138,32901,July,2022,Q3,Standard,35,M,21.79,55.89,"$448,875","$459,830","$1,151,535","$1,611,365",Low
Nike Court Vision Low Shoes,Crisper,19034,12620,4102,2312,September,2023,Q3,Holiday,80,F,66.3,12.15,"$1,009,600","$328,160","$184,960","$513,120",Mid
Puma Smash V2 Sneakers,Classic,58354,18151,21094,19109,April,2021,Q2,Holiday,65,M,31.1,32.75,"$1,179,815","$1,371,110","$1,242,085","$2,613,195",Mid
Converse Chuck Taylor All Star,Crisper,58270,43777,6410,8083,August,2023,Q3,Limited,60,M,75.13,13.87,"$2,626,620","$384,600","$484,980","$869,580",Mid
New Balance 574 Core,Peanut Butter,10835,8359,2379,97,August,2017,Q3,Special Release,90,M,77.15,0.9,"$752,310","$214,110","$8,730","$222,840",Mid
Reebok Classic Leather,Almond,10191,8082,850,1259,March,2016,Q1,Limited,85,M,79.31,12.35,"$686,970","$72,250","$107,015","$179,265",Mid
Under Armour Charged Assert 9,Crisper,74491,12850,52311,9330,December,2022,Q4,Holiday,75,M,17.25,12.53,"$963,750","$3,923,325","$699,750","$4,623,075",Mid
Fila Disruptor II Premium,White Chocolate,78125,59140,6780,12205,February,2020,Q1,Standard,70,M,75.7,15.62,"$4,139,800","$474,600","$854,350","$1,328,950",Mid
ASICS Gel-Quantum 90,Creamy,61688,9904,12994,38790,May,2021,Q2,Standard,100,M,16.05,62.88,"$990,400","$1,299,400","$3,879,000","$5,178,400",Mid
Skechers DLites,Peanut Butter,48230,22104,15804,10322,December,2023,Q4,Anniversary,75,F,45.83,21.4,"$1,657,800","$1,185,300","$774,150","$1,959,450",Mid
Vans Old Skool,Almond,69343,22822,31212,15309,November,2015,Q4,Limited,70,M,32.91,22.08,"$1,597,540","$2,184,840","$1,071,630","$3,256,470",Mid
Onitsuka Tiger Mexico 66,Peanut Butter,23848,10386,6097,7365,March,2020,Q1,Holiday,100,F,43.55,30.88,"$1,038,600","$609,700","$736,500","$1,346,200",Mid
Lacoste Carnaby Evo,White Chocolate,37215,19808,7305,10102,March,2020,Q1,Holiday,95,M,53.23,27.14,"$1,881,760","$693,975","$959,690","$1,653,665",Mid
Superga 2750 Cotu Classic,Peanut Butter,99922,44874,890,54158,November,2022,Q4,Special Release,65,F,44.91,54.2,"$2,916,810","$57,850","$3,520,270","$3,578,120",Mid
Hoka One One Clifton 8,Peanut Butter,21955,13133,2994,5828,June,2019,Q2,Special Release,140,F,59.82,26.55,"$1,838,620","$419,160","$815,920","$1,235,080",High
Saucony Jazz Original,Almond,32789,6018,13520,13251,August,2024,Q3,Anniversary,80,M,18.35,40.41,"$481,440","$1,081,600","$1,060,080","$2,141,680",Mid
Columbia Trailstorm Waterproof,Classic,70560,18357,180,52023,July,2016,Q3,Standard,110,M,26.02,73.73,"$2,019,270","$19,800","$5,722,530","$5,742,330",High
Nike Air Force 1 07 Sneakers,Peanut Butter,35969,31990,2339,1640,March,2019,Q1,Standard,115,F,88.94,4.56,"$3,678,850","$268,985","$188,600","$457,585",High
Adidas Originals Samba OG Shoes,White Chocolate,19828,5357,13415,1056,March,2017,Q1,Anniversary,100,M,27.02,5.33,"$535,700","$1,341,500","$105,600","$1,447,100",Mid
Air Jordan 1 Mid Shoes,White Chocolate,53456,13029,37629,2798,March,2020,Q1,Standard,110,F,24.37,5.23,"$1,433,190","$4,139,190","$307,780","$4,446,970",High
Red Tape Casual Sneakers,White Chocolate,61773,37514,23293,966,April,2019,Q2,Anniversary,35,M,60.73,1.56,"$1,312,990","$815,255","$33,810","$849,065",Low
Nike Court Vision Low Shoes,Peanut Butter,46042,23340,8088,14614,November,2024,Q4,Limited,80,M,50.69,31.74,"$1,867,200","$647,040","$1,169,120","$1,816,160",Mid
Puma Smash V2 Sneakers,Creamy,48680,37695,4235,6750,November,2024,Q4,Special Release,65,M,77.43,13.87,"$2,450,175","$275,275","$438,750","$714,025",Mid
Converse Chuck Taylor All Star,Almond,60202,13993,18735,27474,March,2017,Q1,Special Release,60,M,23.24,45.64,"$839,580","$1,124,100","$1,648,440","$2,772,540",Mid
New Balance 574 Core,Crisper,57069,36436,2791,17842,October,2023,Q4,Anniversary,90,F,63.85,31.26,"$3,279,240","$251,190","$1,605,780","$1,856,970",Mid
Reebok Classic Leather,Crisper,45446,16784,27808,854,July,2018,Q3,Special Release,85,F,36.93,1.88,"$1,426,640","$2,363,680","$72,590","$2,436,270",Mid
Under Armour Charged Assert 9,Classic,71824,51849,839,19136,August,2017,Q3,Limited,75,M,72.19,26.64,"$3,888,675","$62,925","$1,435,200","$1,498,125",Mid
Fila Disruptor II Premium,Almond,79951,12328,38865,28758,June,2021,Q2,Anniversary,70,M,15.42,35.97,"$862,960","$2,720,550","$2,013,060","$4,733,610",Mid
ASICS Gel-Quantum 90,Peanut Butter,41005,25840,1957,13208,April,2023,Q2,Holiday,100,M,63.02,32.21,"$2,584,000","$195,700","$1,320,800","$1,516,500",Mid
Skechers DLites,Creamy,56095,42201,4660,9234,August,2016,Q3,Special Release,75,F,75.23,16.46,"$3,165,075","$349,500","$692,550","$1,042,050",Mid
Vans Old Skool,Brownie,50508,16505,1862,32141,June,2015,Q2,Standard,70,M,32.68,63.64,"$1,155,350","$130,340","$2,249,870","$2,380,210",Mid
Onitsuka Tiger Mexico 66,Classic,79002,67650,11341,11,September,2018,Q3,Special Release,100,M,85.63,0.01,"$6,765,000","$1,134,100","$1,100","$1,135,200",Mid
Lacoste Carnaby Evo,Almond,33260,31293,238,1729,September,2024,Q3,Holiday,95,M,94.09,5.2,"$2,972,835","$22,610","$164,255","$186,865",Mid
Superga 2750 Cotu Classic,Brownie,28566,8634,2687,17245,August,2024,Q3,Holiday,65,F,30.22,60.37,"$561,210","$174,655","$1,120,925","$1,295,580",Mid
Hoka One One Clifton 8,Creamy,96787,56851,1531,38405,February,2016,Q1,Holiday,140,M,58.74,39.68,"$7,959,140","$214,340","$5,376,700","$5,591,040",High
Saucony Jazz Original,Peanut Butter,67261,56894,2385,7982,April,2022,Q2,Holiday,80,F,84.59,11.87,"$4,551,520","$190,800","$638,560","$829,360",Mid
Columbia Trailstorm Waterproof,Peanut Butter,97232,82194,1694,13344,December,2016,Q4,Anniversary,110,F,84.53,13.72,"$9,041,340","$186,340","$1,467,840","$1,654,180",High
Nike Air Force 1 07 Sneakers,Peanut Butter,33292,28882,4396,14,November,2022,Q4,Special Release,115,M,86.75,0.04,"$3,321,430","$505,540","$1,610","$507,150",High
Adidas Originals Samba OG Shoes,Peanut Butter,88956,46709,2180,40067,June,2017,Q2,Special Release,100,F,52.51,45.04,"$4,670,900","$218,000","$4,006,700","$4,224,700",Mid
Air Jordan 1 Mid Shoes,Peanut Butter,53406,10099,27710,15597,November,2018,Q4,Holiday,110,M,18.91,29.2,"$1,110,890","$3,048,100","$1,715,670","$4,763,770",High
